mjd,ra_deg,dec_deg,EL,elong,r,delta,utc
61027.22916666698,110.14808,9.83369,32.160174,153.1135,17.3110762057,16.4275676471659,2025-Dec-18 05:30
61027.25,110.14692,9.83379,38.291899,153.1335,17.31119595976,16.4275397426293,2025-Dec-18 06:00
61027.27083333302,110.14576,9.83388,44.266153,153.1535,17.31131571339,16.4275123495018,2025-Dec-18 06:30
61027.29166666698,110.1446,9.83397,49.988284,153.1735,17.31143546658,16.427485525342,2025-Dec-18 07:00
61028.1875,110.09503,9.83802,20.53572,154.0177,17.31658444695,16.4265928913171,2025-Dec-19 04:30
61028.20833333302,110.09386,9.83812,26.802919,154.0375,17.31670418149,16.4265702082064,2025-Dec-19 05:00
61028.22916666698,110.0927,9.83822,33.018079,154.0573,17.31682391559,16.4265479136442,2025-Dec-19 05:30
61028.25,110.09153,9.83832,39.132494,154.0771,17.31694364926,16.4265260766909,2025-Dec-19 06:00
61028.27083333302,110.09036,9.83842,45.078583,154.0969,17.31706338249,16.426504760699,2025-Dec-19 06:30
61029.1875,110.03926,9.84279,21.407562,154.9528,17.32233121886,16.4258510995462,2025-Dec-20 04:30
61029.20833333302,110.03809,9.84289,27.670053,154.9724,17.32245093301,16.4258345188794,2025-Dec-20 05:00
61029.22916666698,110.03691,9.843,33.874582,154.992,17.32257064673,16.4258183377244,2025-Dec-20 05:30
61029.25,110.03573,9.8431,39.970428,155.0116,17.32269036001,16.425802624418,2025-Dec-20 06:00
61029.27083333302,110.03456,9.84321,45.886482,155.0312,17.32281007285,16.425787441432,2025-Dec-20 06:30
61030.1875,109.98311,9.84782,22.279517,155.8776,17.32807701256,16.4254019156245,2025-Dec-21 04:30
